"id","type","id_jo","id_country"
1261,"none",19,234
1262,"none",24,3
1263,"none",7,3
1264,"none",7,3
1265,"none",12,80
1266,"none",12,80
1267,"none",0,80
1268,"none",22,80
1269,"none",0,206
1270,"none",22,234
1271,"none",8,88
1272,"Bronze",0,88
1273,"none",8,88
1274,"none",25,88
1275,"none",19,88
1276,"none",25,234
1277,"none",25,88
1278,"none",22,88
1279,"none",25,88
1280,"none",25,88
1281,"none",19,88
1282,"none",19,88
1283,"none",20,88
1284,"none",20,88
1285,"none",12,127
1286,"none",1,127
1287,"none",18,88
1288,"none",18,88
1289,"none",21,88
1290,"none",8,88
1291,"none",8,88
1292,"none",2,
1293,"none",2,
1294,"none",2,
1295,"none",3,87
1296,"none",3,87
1297,"none",3,87
1298,"none",4,87
1299,"none",4,87
1300,"none",4,87
1301,"none",10,87
1302,"none",10,87
1303,"none",10,87
1304,"none",4,87
1305,"none",13,119
1306,"Silver",12,160
1307,"none",18,160
1308,"none",8,160
1309,"none",21,160
1310,"none",13,17
1311,"none",21,160
1312,"none",0,160
1313,"none",13,160
1314,"none",8,213
1315,"none",8,213
1316,"none",8,213
1317,"none",8,213
1318,"none",7,213
1319,"none",7,213
1320,"none",16,215
1321,"none",16,215
1322,"none",24,155
1323,"none",24,155
1324,"none",18,117
1325,"Silver",12,160
1326,"none",0,198
1327,"none",9,80
1328,"none",12,113
1329,"none",1,72
1330,"none",13,72
1331,"none",13,119
1332,"none",18,155
1333,"Silver",18,31
1334,"Silver",21,31
1335,"none",21,65
1336,"none",8,205
1337,"none",7,205
1338,"none",20,205
1339,"none",18,205
1340,"none",18,205
1341,"none",21,205
1342,"none",21,160
1343,"none",21,160
1344,"none",21,160
1345,"none",0,160
1346,"none",0,160
1347,"Silver",0,160
1348,"none",8,160
1349,"none",13,160
1350,"Gold",1,31
1351,"none",13,31
1352,"none",19,40
1353,"none",20,40
1354,"none",20,40
1355,"none",1,234
1356,"none",8,75
1357,"none",7,75
1358,"none",12,75
1359,"none",13,231
1360,"none",21,160
1361,"none",24,160
1362,"none",25,31
1363,"none",18,160
1364,"none",21,160
1365,"none",21,160
1366,"none",21,160
1367,"none",21,160
1368,"none",29,238
1369,"none",29,238
1370,"none",6,238
1371,"none",12,154
1372,"none",24,160
1373,"none",20,231
1374,"none",1,160
1375,"none",12,11
1376,"none",13,69
1377,"none",22,212
1378,"none",8,128
1379,"none",7,128
1380,"none",20,31
1381,"none",24,31
1382,"none",18,31
1383,"none",24,160
1384,"none",24,160
1385,"none",24,160
1386,"none",22,112
1387,"none",18,231
1388,"none",0,106
1389,"none",8,106
1390,"Bronze",0,80
1391,"Gold",8,80
1392,"none",7,80
1393,"none",13,146
1394,"Silver",26,87
1395,"none",26,87
1396,"Bronze",0,88
1397,"none",25,61
1398,"none",1,40
1399,"none",7,238
1400,"none",13,238
1401,"Gold",8,238
1402,"none",18,31
1403,"none",21,31
1404,"none",0,31
1405,"Silver",18,31
1406,"none",21,31
1407,"none",0,31
1408,"none",22,87
1409,"Silver",22,87
1410,"none",25,31
1411,"none",22,215
1412,"none",22,215
1413,"none",22,215
1414,"none",22,215
1415,"none",22,215
1416,"none",22,215
1417,"none",25,87
1418,"none",25,87
1419,"none",1,215
1420,"none",1,215
1421,"none",1,215
1422,"none",1,215
1423,"none",23,41
1424,"none",23,41
1425,"Gold",12,234
1426,"Gold",12,234
1427,"Bronze",1,234
1428,"Bronze",1,234
1429,"none",21,
1430,"none",8,87
1431,"none",23,69
1432,"none",24,3
1433,"none",24,234
1434,"none",22,75
1435,"none",8,217
1436,"none",22,149
1437,"none",25,149
1438,"none",22,231
1439,"none",22,231
1440,"none",18,61
1441,"none",7,167
1442,"none",16,216
1443,"none",16,216
1444,"none",21,215
1445,"none",0,215
1446,"none",6,215
1447,"none",6,215
1448,"none",6,215
1449,"none",17,215
1450,"none",17,215
1451,"none",17,215
1452,"none",29,215
1453,"none",29,215
1454,"Bronze",7,130
1455,"none",14,130
1456,"none",7,88
1457,"none",24,215
1458,"none",24,215
1459,"none",24,215
1460,"none",24,215
1461,"none",24,215
1462,"none",18,215
