"id","type","id_jo","id_event","id_athlete"
227374,"none",27,136,113579
227375,"none",10,32,113580
227376,"none",10,33,113580
227377,"none",24,30,113580
227378,"none",24,32,113580
227379,"none",24,33,113580
227380,"none",4,32,113580
227381,"none",4,33,113580
227382,"none",4,34,113580
227383,"none",19,28,113581
227384,"none",1,28,113581
227385,"none",11,331,113582
227386,"none",21,331,113582
227387,"none",36,42,113583
227388,"Gold",36,2,113584
227389,"none",16,42,113585
227390,"none",1,277,113586
227391,"none",33,425,113587
227392,"none",37,425,113587
227393,"none",37,287,113587
227394,"none",0,146,113588
227395,"none",36,267,113589
227396,"none",36,245,113589
227397,"none",29,2,113590
227398,"Bronze",25,42,113591
227399,"none",28,42,113591
227400,"none",0,42,113591
227401,"none",33,2,113592
227402,"none",19,42,113593
227403,"Silver",27,149,113594
227404,"Silver",27,186,113594
227405,"Gold",27,53,113594
227406,"none",11,271,113595
227407,"none",23,13,113596
227408,"none",40,586,113597
227409,"none",40,141,113598
227410,"none",4,50,113599
227411,"none",25,433,113600
227412,"none",28,397,113600
227413,"none",34,473,113601
227414,"none",34,473,113601
227415,"none",29,333,113602
227416,"Gold",13,2,113603
227417,"none",1,198,113604
227418,"none",0,368,113605
227419,"none",12,368,113605
227420,"none",8,202,113606
227421,"none",8,50,113606
227422,"none",18,202,113606
227423,"none",18,50,113606
227424,"none",38,202,113606
227425,"none",38,50,113606
227426,"none",21,170,113607
227427,"none",33,151,113608
227428,"none",33,203,113608
227429,"none",33,74,113609
227430,"none",37,208,113609
227431,"none",25,146,113610
227432,"none",25,179,113610
227433,"none",25,63,113610
227434,"none",10,41,113611
227435,"none",35,453,113612
227436,"none",36,453,113612
227437,"none",25,64,113612
227438,"none",8,13,113613
227439,"none",25,56,113614
227440,"none",25,57,113614
227441,"none",19,35,113615
227442,"none",27,190,113616
227443,"none",35,190,113616
227444,"Gold",32,167,113617
227445,"none",9,64,113618
227446,"none",9,212,113619
227447,"none",9,213,113619
227448,"none",9,275,113619
227449,"none",9,214,113619
227450,"none",9,215,113619
227451,"none",9,216,113619
227452,"none",9,217,113619
227453,"none",32,212,113619
227454,"none",32,214,113619
227455,"none",32,215,113619
227456,"none",32,216,113619
227457,"none",32,217,113619
227458,"none",9,212,113620
227459,"none",9,213,113620
227460,"none",9,275,113620
227461,"none",9,214,113620
227462,"none",9,215,113620
227463,"none",9,216,113620
227464,"none",9,217,113620
227465,"none",14,2,113621
227466,"none",17,460,113622
